,מספר זיהוי,שם מעיין,שם מעיין באנגלית,תחילת תצפית,X נ.צ נביעה,Y נ.צ נביעה,רום הנביעה,מקום מדידה,שם אקויפר,קוד אקויפר,שם תא דיווח,קוד תא דיווח
,38266,שוקק,SHOQEQ,1937,242170,711460,-99,נמדד באופן סדיר,קנומן - טורון,400,תענך חרוד,650
,38270,חוגה,HUGA,1937,250670,713840,-250,נמדד באופן סדיר,ניאוגן - מילוי,200,נווה אור,624
,38275,חסידה,HASIDA,1975,251500,713500,-255,נמדד באופן סדיר,ניאוגן - מילוי,200,נווה אור,624
,38610,טבעון,TIV'ON,0,235040,718170,-30,מעיין סקר,ניאוגן - בזלת,250,עמק חרוד,622
,38620,עינות עפרוני,EFRONI,0,250300,713000,-250,מעיין סקר,ניאוגן - בזלת,250,נצרת,610
,39210,אשתורי,ESHTORI,0,248760,711200,0,לא נמדד,קנומן - טורון,400,נצרת,610
,39215,נמרוד,NIMROD,1937,252200,710120,-235,נמדד באופן סדיר,קנומן - טורון,400,רויה,651
,39218,צמד,ZEMED,1937,249240,709260,-225,נמדד באופן סדיר,קנומן - טורון,400,רויה,651
,39220,יהודה,YEHUDA,1937,247560,708640,-152,נמדד באופן סדיר,קנומן - טורון,400,רויה,651
,39222,נפתלי,NAFTALI,1937,247400,708300,-148,נמדד באופן סדיר,קנומן - טורון,400,רויה,651
,39223,צבי,ZEVI,1937,247690,708280,-166,לא נמדד,קנומן - טורון,400,רויה,651
,39224,דורנית,DURANIT,1948,248820,708530,0,לא נמדד,קנומן - טורון,400,רויה,651
,39225,צפצפה,ZAFZAFA,1943,249400,708200,-220,נמדד באופן סדיר,קנומן - טורון,400,רויה,651
,39226,טיון,TAIYUN,0,249130,708130,0,לא נמדד,קנומן - טורון,400,רויה,651
,39227,נשב צינור,NESHEV PIPELINE,2001,247340,707580,-172,לא נמדד,קנומן - טורון,400,רויה,651
,39229,נשב שוחה ימנית(מתוק),NESHEV (FRESH WATER),1937,247340,707580,-172,נמדד באופן סדיר,קנומן - טורון,400,רויה,651
,39230,כפתור,KAFTOR,1949,249100,707450,205,מעיין סקר,קנומן - טורון,400,רויה,651
,39231,פרח,PERAH,0,249680,707140,0,לא נמדד,קנומן - טורון,400,רויה,651
,39233,מרחב,MERHAV,1937,247600,707000,-177,לא נמדד,קנומן - טורון,400,רויה,651
,39234,סיכום עינות מרחב ורחוב,SUM MERHAV AND REHOV SPRINGS,2019,247600,707000,0,נמדד באופן סדיר,קנומן - טורון,400,רויה,651
,39235,רחוב,REHOV,1937,247690,706760,-177,לא נמדד,קנומן - טורון,400,רויה,651
,39237,שייח מוחמד (סהרון),SHEIKH MUHAMMAD,1945,251400,706300,-250,מעיין סקר,קנומן - טורון,400,רויה,651
,39250,נזם,NEZEM,1937,248540,704300,-191,נמדד באופן סדיר,קנומן - טורון,400,רויה,651
,39255,פדות,PEDUT,1937,249520,703980,-209,נמדד באופן סדיר,קנומן - טורון,400,רויה,651
,39260,קרניים,QARNAYIM,1937,249460,703550,-210,נמדד באופן סדיר,קנומן - טורון,400,רויה,651
,39265,עינות מחצצים,Mahzazim Springs,0,251024,701813,-235,לא נמדד,קנומן - טורון,400,רויה,651
,39280,אברהם,AVRAHAM,1937,249700,700710,-225,לא נמדד,קנומן - טורון,400,רויה,651
,39290,מודע,MODA,1945,242800,709800,-110,נמדד באופן סדיר,קנומן - טורון,400,תענך חרוד,650
,39295,רוויה,REWAYA,1950,243507,708027,-88,מעיין סקר,קנומן - טורון,400,תענך חרוד,650
,39351,ברדלה,BARDALA,1964,245180,699260,0,לא נמדד,קנומן - טורון,400,רויה,651
